Gas Date: 2022-11-17  Cycle: INTRDY_2022-11-18_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,134,140,-63,
Bristol,56,-201,-288,
Calhoun,70,9,-54,
Clark Range,353,317,
Dixon Springs,367,344,
Estill Springs,164,137,
Flatwoods,118,96,-228,
Fordtown,108,-107,-240,
Gainesboro,365,343,
Glade Spring,225,-104,
Jewell Ridge,275,147,
Lewisburg,176,147,
Lobelville,113,102,
Madisonville,59,-6,-65,
Maryville,32,-9,-70,
Monterey,359,332,
Nora,160,100,
Ooltewah~South,157,6,
Ooltewah,185,53,-53,
Patriot Lateral,572,113,-170,
Ridgetop,310,252,
To Roanoke,67,40,
Rural Retreat,597,121,
Topside,135,156,
Topside South,85,-78,
Tracy City,133,130,
Wartburg,321,315,
