Gas Date: 2023-01-20  Cycle: INTRDY_2023-01-21_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,161,-60,
Bristol,55,-160,-294,
Calhoun,74,7,-50,
Clark Range,356,297,
Dixon Springs,380,320,
Estill Springs,162,98,
Flatwoods,118,122,-228,
Fordtown,109,-85,-239,
Gainesboro,378,318,
Glade Spring,233,-76,
Jewell Ridge,275,148,
Lewisburg,176,110,
Lobelville,112,107,
Madisonville,60,-5,-64,
Maryville,32,-9,-76,
Monterey,368,314,
Nora,160,90,
Ooltewah~South,157,-3,
Ooltewah,178,37,-53,
Patriot Lateral,555,-6,-170,
Ridgetop,320,267,
To Roanoke,67,35,
Rural Retreat,598,32,
Topside,138,176,
Topside South,85,-32,
Tracy City,133,88,
Wartburg,330,293,
