Gas Date: 2023-02-13  Cycle: INTRDY_2023-02-14_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,124,-60,
Bristol,55,-188,-295,
Calhoun,75,1,-46,
Clark Range,356,257,
Dixon Springs,386,277,
Estill Springs,159,103,
Flatwoods,119,95,-228,
Fordtown,109,-120,-239,
Gainesboro,381,277,
Glade Spring,232,-107,
Jewell Ridge,275,154,
Lewisburg,174,113,
Lobelville,111,86,
Madisonville,60,-11,-64,
Maryville,32,-14,-77,
Monterey,369,274,
Nora,160,85,
Ooltewah~South,157,2,
Ooltewah,177,43,-53,
Patriot Lateral,549,32,-170,
Ridgetop,320,271,
To Roanoke,67,35,
Rural Retreat,598,32,
Topside,139,139,
Topside South,85,-38,
Tracy City,133,97,
Wartburg,331,256,
