Gas Date: 2022-12-12  Cycle: INTRDY_2022-12-13_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,113,-60,
Bristol,55,-162,-294,
Calhoun,74,11,-50,
Clark Range,356,222,
Dixon Springs,377,247,
Estill Springs,163,105,
Flatwoods,118,81,-228,
Fordtown,108,-105,-239,
Gainesboro,375,245,
Glade Spring,232,-77,
Jewell Ridge,275,152,
Lewisburg,177,116,
Lobelville,112,90,
Madisonville,59,1,-62,
Maryville,33,-3,-70,
Monterey,366,231,
Nora,160,91,
Ooltewah~South,157,5,
Ooltewah,178,63,-53,
Patriot Lateral,563,74,-170,
Ridgetop,317,244,
To Roanoke,67,34,
Rural Retreat,602,105,
Topside,137,127,
Topside South,84,-41,
Tracy City,134,103,
Wartburg,329,220,
