Gas Date: 2023-01-06  Cycle: INTRDY_2023-01-07_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,113,-60,
Bristol,55,-119,-294,
Calhoun,74,15,-50,
Clark Range,356,239,
Dixon Springs,380,260,
Estill Springs,162,119,
Flatwoods,118,85,-228,
Fordtown,109,-59,-239,
Gainesboro,378,260,
Glade Spring,233,-34,
Jewell Ridge,275,156,
Lewisburg,176,137,
Lobelville,112,98,
Madisonville,60,3,-64,
Maryville,32,-2,-76,
Monterey,368,246,
Nora,160,95,
Ooltewah~South,157,4,
Ooltewah,178,65,-53,
Patriot Lateral,555,100,-170,
Ridgetop,320,260,
To Roanoke,67,34,
Rural Retreat,598,88,
Topside,138,128,
Topside South,85,-28,
Tracy City,133,115,
Wartburg,330,234,
