Gas Date: 2023-02-05  Cycle: INTRDY_2023-02-06_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,180,-60,
Bristol,55,-100,-295,
Calhoun,75,15,-46,
Clark Range,356,314,
Dixon Springs,386,342,
Estill Springs,159,99,
Flatwoods,119,145,-228,
Fordtown,109,-19,-239,
Gainesboro,381,341,
Glade Spring,232,-8,
Jewell Ridge,275,155,
Lewisburg,174,109,
Lobelville,111,94,
Madisonville,60,3,-64,
Maryville,32,-5,-77,
Monterey,369,332,
Nora,160,97,
Ooltewah~South,157,-8,
Ooltewah,177,40,-53,
Patriot Lateral,549,92,-170,
Ridgetop,320,276,
To Roanoke,67,32,
Rural Retreat,598,142,
Topside,139,194,
Topside South,85,-30,
Tracy City,133,87,
Wartburg,331,310,
