Gas Date: 2022-11-18  Cycle: INTRDY_2022-11-19_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,134,118,-63,
Bristol,56,-225,-288,
Calhoun,70,21,-54,
Clark Range,353,293,
Dixon Springs,367,334,
Estill Springs,164,137,
Flatwoods,118,78,-228,
Fordtown,108,-119,-240,
Gainesboro,365,332,
Glade Spring,225,-130,
Jewell Ridge,275,155,
Lewisburg,176,148,
Lobelville,113,112,
Madisonville,59,6,-65,
Maryville,32,3,-70,
Monterey,359,311,
Nora,160,99,
Ooltewah~South,157,2,
Ooltewah,185,56,-53,
Patriot Lateral,572,32,-170,
Ridgetop,310,261,
To Roanoke,67,42,
Rural Retreat,597,14,
Topside,135,135,
Topside South,85,-85,
Tracy City,133,126,
Wartburg,321,292,
