Gas Date: 2022-12-02  Cycle: INTRDY_2022-12-03_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,128,-60,
Bristol,55,-179,-294,
Calhoun,74,0,-50,
Clark Range,356,235,
Dixon Springs,377,265,
Estill Springs,163,98,
Flatwoods,118,92,-228,
Fordtown,108,-107,-239,
Gainesboro,375,263,
Glade Spring,232,-88,
Jewell Ridge,275,142,
Lewisburg,177,105,
Lobelville,112,93,
Madisonville,59,-13,-62,
Maryville,33,-17,-70,
Monterey,366,252,
Nora,160,98,
Ooltewah~South,157,4,
Ooltewah,178,45,-53,
Patriot Lateral,563,69,-170,
Ridgetop,317,239,
To Roanoke,67,32,
Rural Retreat,602,72,
Topside,137,144,
Topside South,84,-45,
Tracy City,134,90,
Wartburg,329,234,
