Gas Date: 2022-11-11  Cycle: INTRDY_2022-11-12_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,134,103,-65,
Bristol,54,-192,-286,
Calhoun,73,1,-55,
Clark Range,353,183,
Dixon Springs,363,209,
Estill Springs,167,65,
Flatwoods,122,72,-228,
Fordtown,100,-142,-241,
Gainesboro,361,209,
Glade Spring,201,-111,
Jewell Ridge,275,137,
Lewisburg,178,87,
Lobelville,111,60,
Madisonville,55,-10,-64,
Maryville,30,-13,-75,
Monterey,358,189,
Nora,160,86,
Ooltewah~South,157,3,
Ooltewah,181,30,-53,
Patriot Lateral,501,13,-170,
Ridgetop,228,137,
To Roanoke,67,20,
Rural Retreat,515,25,
Topside,135,110,
Topside South,88,-48,
Tracy City,131,62,
Wartburg,318,182,
