Gas Date: 2022-12-29  Cycle: INTRDY_2022-12-30_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,107,-60,
Bristol,55,-130,-294,
Calhoun,74,22,-50,
Clark Range,356,272,
Dixon Springs,377,297,
Estill Springs,163,84,
Flatwoods,118,78,-228,
Fordtown,108,-81,-239,
Gainesboro,375,297,
Glade Spring,232,-30,
Jewell Ridge,275,137,
Lewisburg,177,91,
Lobelville,112,72,
Madisonville,59,7,-62,
Maryville,33,-3,-70,
Monterey,366,283,
Nora,160,104,
Ooltewah~South,157,-4,
Ooltewah,178,39,-53,
Patriot Lateral,563,40,-170,
Ridgetop,317,205,
To Roanoke,67,30,
Rural Retreat,602,23,
Topside,137,122,
Topside South,84,-86,
Tracy City,134,83,
Wartburg,329,267,
