Gas Date: 2023-01-21  Cycle: INTRDY_2023-01-22_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,145,-60,
Bristol,55,-145,-294,
Calhoun,74,12,-50,
Clark Range,356,271,
Dixon Springs,380,296,
Estill Springs,162,87,
Flatwoods,118,107,-228,
Fordtown,109,-83,-239,
Gainesboro,378,296,
Glade Spring,233,-63,
Jewell Ridge,275,148,
Lewisburg,176,98,
Lobelville,112,95,
Madisonville,60,1,-64,
Maryville,32,-5,-76,
Monterey,368,287,
Nora,160,89,
Ooltewah~South,157,-9,
Ooltewah,178,31,-53,
Patriot Lateral,555,13,-170,
Ridgetop,320,257,
To Roanoke,67,32,
Rural Retreat,598,43,
Topside,138,160,
Topside South,85,-27,
Tracy City,133,80,
Wartburg,330,266,
