Gas Date: 2023-02-14  Cycle: INTRDY_2023-02-15_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,132,-60,
Bristol,55,-115,-295,
Calhoun,75,7,-46,
Clark Range,356,254,
Dixon Springs,386,274,
Estill Springs,159,82,
Flatwoods,119,105,-228,
Fordtown,109,-64,-239,
Gainesboro,381,274,
Glade Spring,232,-36,
Jewell Ridge,275,155,
Lewisburg,174,92,
Lobelville,111,67,
Madisonville,60,-5,-64,
Maryville,32,-18,-77,
Monterey,369,267,
Nora,160,85,
Ooltewah~South,157,6,
Ooltewah,177,36,-53,
Patriot Lateral,549,72,-170,
Ridgetop,320,245,
To Roanoke,67,29,
Rural Retreat,598,84,
Topside,139,142,
Topside South,85,-49,
Tracy City,133,81,
Wartburg,331,251,
