Gas Date: 2023-01-15  Cycle: INTRDY_2023-01-16_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,150,-60,
Bristol,55,-137,-294,
Calhoun,74,9,-50,
Clark Range,356,320,
Dixon Springs,380,350,
Estill Springs,162,114,
Flatwoods,118,106,-228,
Fordtown,109,-49,-239,
Gainesboro,378,349,
Glade Spring,233,-46,
Jewell Ridge,275,148,
Lewisburg,176,126,
Lobelville,112,110,
Madisonville,60,-6,-64,
Maryville,32,-11,-76,
Monterey,368,340,
Nora,160,96,
Ooltewah~South,157,-3,
Ooltewah,178,39,-53,
Patriot Lateral,555,212,-170,
Ridgetop,320,274,
To Roanoke,67,34,
Rural Retreat,598,253,
Topside,138,176,
Topside South,85,-33,
Tracy City,133,103,
Wartburg,330,315,
