Gas Date: 2022-12-19  Cycle: INTRDY_2022-12-20_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,155,-60,
Bristol,55,-161,-294,
Calhoun,74,35,-50,
Clark Range,356,294,
Dixon Springs,377,322,
Estill Springs,163,129,
Flatwoods,118,111,-228,
Fordtown,108,-63,-239,
Gainesboro,375,321,
Glade Spring,232,-64,
Jewell Ridge,275,160,
Lewisburg,177,140,
Lobelville,112,112,
Madisonville,59,21,-62,
Maryville,33,8,-70,
Monterey,366,311,
Nora,160,99,
Ooltewah~South,157,-6,
Ooltewah,178,55,-53,
Patriot Lateral,563,103,-170,
Ridgetop,317,281,
To Roanoke,67,38,
Rural Retreat,602,139,
Topside,137,171,
Topside South,84,-17,
Tracy City,134,117,
Wartburg,329,289,
