Gas Date: 2023-01-18  Cycle: INTRDY_2023-01-19_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,123,-60,
Bristol,55,-109,-294,
Calhoun,74,21,-50,
Clark Range,356,201,
Dixon Springs,380,220,
Estill Springs,162,95,
Flatwoods,118,87,-228,
Fordtown,109,-62,-239,
Gainesboro,378,220,
Glade Spring,233,-27,
Jewell Ridge,275,173,
Lewisburg,176,105,
Lobelville,112,87,
Madisonville,60,10,-64,
Maryville,32,7,-76,
Monterey,368,213,
Nora,160,89,
Ooltewah~South,157,7,
Ooltewah,178,44,-53,
Patriot Lateral,555,39,-170,
Ridgetop,320,185,
To Roanoke,67,27,
Rural Retreat,598,35,
Topside,138,137,
Topside South,85,-18,
Tracy City,133,93,
Wartburg,330,198,
