Gas Date: 2023-01-08  Cycle: INTRDY_2023-01-09_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,126,-60,
Bristol,55,-114,-294,
Calhoun,74,3,-50,
Clark Range,356,267,
Dixon Springs,380,295,
Estill Springs,162,101,
Flatwoods,118,90,-228,
Fordtown,109,-61,-239,
Gainesboro,378,295,
Glade Spring,233,-29,
Jewell Ridge,275,158,
Lewisburg,176,113,
Lobelville,112,89,
Madisonville,60,-9,-64,
Maryville,32,-18,-76,
Monterey,368,277,
Nora,160,96,
Ooltewah~South,157,3,
Ooltewah,178,52,-53,
Patriot Lateral,555,111,-170,
Ridgetop,320,260,
To Roanoke,67,36,
Rural Retreat,598,134,
Topside,138,142,
Topside South,85,-45,
Tracy City,133,97,
Wartburg,330,266,
