Gas Date: 2023-02-01  Cycle: INTRDY_2023-02-02_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,131,-60,
Bristol,55,-145,-295,
Calhoun,75,11,-46,
Clark Range,356,280,
Dixon Springs,386,317,
Estill Springs,159,99,
Flatwoods,119,92,-228,
Fordtown,109,-60,-239,
Gainesboro,381,313,
Glade Spring,232,-57,
Jewell Ridge,275,141,
Lewisburg,174,111,
Lobelville,111,99,
Madisonville,60,0,-64,
Maryville,32,-3,-77,
Monterey,369,300,
Nora,160,91,
Ooltewah~South,157,-10,
Ooltewah,177,42,-53,
Patriot Lateral,549,162,-170,
Ridgetop,320,294,
To Roanoke,67,38,
Rural Retreat,598,178,
Topside,139,148,
Topside South,85,-29,
Tracy City,133,87,
Wartburg,331,275,
