Gas Date: 2022-12-14  Cycle: INTRDY_2022-12-15_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,124,-60,
Bristol,55,-104,-294,
Calhoun,74,10,-50,
Clark Range,356,248,
Dixon Springs,377,271,
Estill Springs,163,106,
Flatwoods,118,94,-228,
Fordtown,108,-37,-239,
Gainesboro,375,270,
Glade Spring,232,-15,
Jewell Ridge,275,159,
Lewisburg,177,116,
Lobelville,112,92,
Madisonville,59,-3,-62,
Maryville,33,-14,-70,
Monterey,366,261,
Nora,160,96,
Ooltewah~South,157,7,
Ooltewah,178,55,-53,
Patriot Lateral,563,148,-170,
Ridgetop,317,257,
To Roanoke,67,36,
Rural Retreat,602,128,
Topside,137,138,
Topside South,84,-43,
Tracy City,134,102,
Wartburg,329,243,
