Gas Date: 2023-01-01  Cycle: INTRDY_2023-01-02_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,91,-60,
Bristol,55,-104,-294,
Calhoun,74,-42,-50,
Clark Range,356,235,
Dixon Springs,380,262,
Estill Springs,162,28,
Flatwoods,118,60,-228,
Fordtown,109,-82,-239,
Gainesboro,378,262,
Glade Spring,233,-11,
Jewell Ridge,275,150,
Lewisburg,176,43,
Lobelville,112,91,
Madisonville,60,-55,-64,
Maryville,32,-59,-76,
Monterey,368,247,
Nora,160,101,
Ooltewah~South,157,1,
Ooltewah,178,-24,-53,
Patriot Lateral,555,40,-170,
Ridgetop,320,152,
To Roanoke,67,25,
Rural Retreat,598,47,
Topside,138,105,
Topside South,85,-85,
Tracy City,133,26,
Wartburg,330,233,
