Gas Date: 2023-01-24  Cycle: INTRDY_2023-01-25_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,161,-60,
Bristol,55,-140,-294,
Calhoun,74,16,-50,
Clark Range,356,295,
Dixon Springs,380,319,
Estill Springs,162,94,
Flatwoods,118,120,-228,
Fordtown,109,-76,-239,
Gainesboro,378,318,
Glade Spring,233,-56,
Jewell Ridge,275,147,
Lewisburg,176,104,
Lobelville,112,100,
Madisonville,60,5,-64,
Maryville,32,-3,-76,
Monterey,368,312,
Nora,160,90,
Ooltewah~South,157,-5,
Ooltewah,178,42,-53,
Patriot Lateral,555,30,-170,
Ridgetop,320,283,
To Roanoke,67,32,
Rural Retreat,598,59,
Topside,138,175,
Topside South,85,-26,
Tracy City,133,88,
Wartburg,330,290,
