Gas Date: 2022-11-20  Cycle: INTRDY_2022-11-21_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,134,146,-63,
Bristol,56,-187,-288,
Calhoun,70,38,-54,
Clark Range,353,325,
Dixon Springs,367,360,
Estill Springs,164,147,
Flatwoods,118,101,-228,
Fordtown,108,-115,-240,
Gainesboro,365,359,
Glade Spring,225,-91,
Jewell Ridge,275,141,
Lewisburg,176,158,
Lobelville,113,112,
Madisonville,59,25,-65,
Maryville,32,18,-70,
Monterey,359,344,
Nora,160,100,
Ooltewah~South,157,-1,
Ooltewah,185,70,-53,
Patriot Lateral,572,186,-170,
Ridgetop,310,270,
To Roanoke,67,43,
Rural Retreat,597,202,
Topside,135,162,
Topside South,85,-78,
Tracy City,133,137,
Wartburg,321,324,
