Gas Date: 2022-11-19  Cycle: INTRDY_2022-11-20_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,134,118,-63,
Bristol,56,-219,-288,
Calhoun,70,45,-54,
Clark Range,353,294,
Dixon Springs,367,328,
Estill Springs,164,144,
Flatwoods,118,78,-228,
Fordtown,108,-139,-240,
Gainesboro,365,326,
Glade Spring,225,-128,
Jewell Ridge,275,149,
Lewisburg,176,154,
Lobelville,113,110,
Madisonville,59,33,-65,
Maryville,32,26,-70,
Monterey,359,311,
Nora,160,100,
Ooltewah~South,157,-1,
Ooltewah,185,66,-53,
Patriot Lateral,572,50,-170,
Ridgetop,310,259,
To Roanoke,67,43,
Rural Retreat,597,28,
Topside,135,135,
Topside South,85,-85,
Tracy City,133,133,
Wartburg,321,293,
