Gas Date: 2022-12-07  Cycle: INTRDY_2022-12-08_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,125,-60,
Bristol,55,-147,-294,
Calhoun,74,13,-50,
Clark Range,356,202,
Dixon Springs,377,244,
Estill Springs,163,101,
Flatwoods,118,82,-228,
Fordtown,108,-102,-239,
Gainesboro,375,244,
Glade Spring,232,-67,
Jewell Ridge,275,147,
Lewisburg,177,118,
Lobelville,112,83,
Madisonville,59,1,-62,
Maryville,33,-13,-70,
Monterey,366,214,
Nora,160,86,
Ooltewah~South,157,6,
Ooltewah,178,49,-53,
Patriot Lateral,563,51,-170,
Ridgetop,317,210,
To Roanoke,67,27,
Rural Retreat,602,59,
Topside,137,138,
Topside South,84,-30,
Tracy City,134,100,
Wartburg,329,201,
