Gas Date: 2022-12-16  Cycle: INTRDY_2022-12-17_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,156,-60,
Bristol,55,-150,-294,
Calhoun,74,34,-50,
Clark Range,356,284,
Dixon Springs,377,312,
Estill Springs,163,113,
Flatwoods,118,119,-228,
Fordtown,108,-69,-239,
Gainesboro,375,310,
Glade Spring,232,-56,
Jewell Ridge,275,156,
Lewisburg,177,123,
Lobelville,112,111,
Madisonville,59,22,-62,
Maryville,33,9,-70,
Monterey,366,301,
Nora,160,99,
Ooltewah~South,157,-9,
Ooltewah,178,55,-53,
Patriot Lateral,563,12,-170,
Ridgetop,317,291,
To Roanoke,67,38,
Rural Retreat,602,52,
Topside,137,174,
Topside South,84,-17,
Tracy City,134,100,
Wartburg,329,279,
