Gas Date: 2022-12-30  Cycle: INTRDY_2022-12-31_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,122,-60,
Bristol,55,-104,-294,
Calhoun,74,-37,-50,
Clark Range,356,267,
Dixon Springs,377,301,
Estill Springs,163,14,
Flatwoods,118,92,-228,
Fordtown,108,-58,-239,
Gainesboro,375,301,
Glade Spring,232,-4,
Jewell Ridge,275,154,
Lewisburg,177,28,
Lobelville,112,80,
Madisonville,59,-49,-62,
Maryville,33,-57,-70,
Monterey,366,277,
Nora,160,108,
Ooltewah~South,157,-4,
Ooltewah,178,-28,-53,
Patriot Lateral,563,55,-170,
Ridgetop,317,197,
To Roanoke,67,29,
Rural Retreat,602,50,
Topside,137,137,
Topside South,84,-80,
Tracy City,134,13,
Wartburg,329,265,
