Gas Date: 2023-02-08  Cycle: INTRDY_2023-02-09_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,108,-60,
Bristol,55,-127,-295,
Calhoun,75,5,-46,
Clark Range,356,198,
Dixon Springs,386,219,
Estill Springs,159,81,
Flatwoods,119,79,-228,
Fordtown,109,-78,-239,
Gainesboro,381,217,
Glade Spring,232,-50,
Jewell Ridge,275,159,
Lewisburg,174,101,
Lobelville,111,72,
Madisonville,60,-6,-64,
Maryville,32,-10,-77,
Monterey,369,211,
Nora,160,85,
Ooltewah~South,157,6,
Ooltewah,177,38,-53,
Patriot Lateral,549,30,-170,
Ridgetop,320,163,
To Roanoke,67,26,
Rural Retreat,598,15,
Topside,139,122,
Topside South,85,-32,
Tracy City,133,80,
Wartburg,331,196,
