Gas Date: 2022-12-07  Cycle: INTRDY_2022-12-08_0900
Station Name,Cap,Nom,Cap2
Athens,455,0,
Blue Racer,200,20,
Belle River,581,410,
Colerain,950,821,
Clyde,1470,1254,
Hanoverton,1491,1280,
Highland,455,0,
Milford,581,410,
Majorsville,695,425,
Big Run,850,20,
Salineville,950,893,
Springville,455,0,
Holbrook,330,246,
Washington,581,410,
Wadsworth,1488,1275,
Waterville,1420,1157,
Ypsilanti,961,739,
