Gas Date: 2023-02-02  Cycle: INTRDY_2023-02-03_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,164,-60,
Bristol,55,-124,-295,
Calhoun,75,11,-46,
Clark Range,356,319,
Dixon Springs,386,346,
Estill Springs,159,98,
Flatwoods,119,122,-228,
Fordtown,109,-24,-239,
Gainesboro,381,344,
Glade Spring,232,-40,
Jewell Ridge,275,139,
Lewisburg,174,110,
Lobelville,111,96,
Madisonville,60,0,-64,
Maryville,32,-6,-77,
Monterey,369,336,
Nora,160,90,
Ooltewah~South,157,-10,
Ooltewah,177,41,-53,
Patriot Lateral,549,199,-170,
Ridgetop,320,296,
To Roanoke,67,39,
Rural Retreat,598,240,
Topside,139,181,
Topside South,85,-31,
Tracy City,133,86,
Wartburg,331,313,
