Gas Date: 2023-01-19  Cycle: INTRDY_2023-01-20_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,129,-60,
Bristol,55,-134,-294,
Calhoun,74,17,-50,
Clark Range,356,225,
Dixon Springs,380,255,
Estill Springs,162,111,
Flatwoods,118,96,-228,
Fordtown,109,-81,-239,
Gainesboro,378,255,
Glade Spring,233,-51,
Jewell Ridge,275,152,
Lewisburg,176,122,
Lobelville,112,100,
Madisonville,60,6,-64,
Maryville,32,-5,-76,
Monterey,368,237,
Nora,160,89,
Ooltewah~South,157,7,
Ooltewah,178,55,-53,
Patriot Lateral,555,44,-170,
Ridgetop,320,214,
To Roanoke,67,32,
Rural Retreat,598,47,
Topside,138,146,
Topside South,85,-29,
Tracy City,133,105,
Wartburg,330,221,
