Gas Date: 2022-12-09  Cycle: INTRDY_2022-12-10_0900
Station Name,Cap,Nom,Cap2
Boyds Creek,136,52,-60,
Bristol,55,-170,-294,
Calhoun,74,5,-50,
Clark Range,356,150,
Dixon Springs,377,175,
Estill Springs,163,95,
Flatwoods,118,12,-228,
Fordtown,108,-103,-239,
Gainesboro,375,175,
Glade Spring,232,-92,
Jewell Ridge,275,149,
Lewisburg,177,108,
Lobelville,112,80,
Madisonville,59,-5,-62,
Maryville,33,-19,-70,
Monterey,366,156,
Nora,160,87,
Ooltewah~South,157,4,
Ooltewah,178,50,-53,
Patriot Lateral,563,37,-170,
Ridgetop,317,175,
To Roanoke,67,35,
Rural Retreat,602,44,
Topside,137,68,
Topside South,84,-45,
Tracy City,134,94,
Wartburg,329,148,
