Gas Date: 2023-02-14  Cycle: INTRDY_2023-02-15_0900
Station Name,Cap,Nom,Cap2
Collins Mainline,1086,947,
Delhi,1024,861,
Gwinville East,1122,961,
Gwinville,1122,962,
Lucedale,1112,935,
Petal Mainline,1126,937,
